"Field","Subfield","Label","EditTypes","InputAid","Occurs","DBs"
"461","9","Роль (Инвертирование ФИО допустимо?)","1=menu(.mnu); 7=yes/no","df.mnu","8","4"
"461","A","Перевод заглавия","0=text",,"4","3"
"461","B","Коллектив или меропритие - Заголовок описания","0=text; 2=dict(,pref=)",",M=,@!mmovo","8","4"
"461","C","Заглавие","2=dict(,pref=)",",T=,@!tmovzh","14","9"
"461","D","Город","1=menu(.mnu)","gor.mnu\\1","14","9"
"461","E","Сведения, относящиеся к заглавию","0=text; 1=menu(.mnu)","200e.mnu","14","9"
"461","F","Сведения об ответственности","0=text; 2=dict(,pref=)",",A=,@!amovf","13","8"
"461","G","Издательство","0=text; 2=dict(,pref=)",",O=,(if '***'='210' then v210^c,|^D|v210^a,|; |v210^x,|; |v210^y else v***^g,|^D|v***^d fi/)","9","5"
"461","H","Год начала издания","0=text",,"13","8"
"461","I","ISBN","0=text",,"9","5"
"461","J","ISSN","0=text",,"9","5"
"461","L","Индикатор формы записи имени","7=yes/no","df.mnu","3","3"
"461","P","Сведения об издании","0=text; 1=menu(.mnu)","205.mnu\\1","14","9"
"461","R","Размер текстовых материалов, нот, карт","0=text",,"4","3"
"461","S","Роль (выводить не ВСЕ издательства)","7=yes/no","idrm.mnu","3","3"
"461","T","Тираж (цифры)","0=text",,"4","3"
"461","U","Роль (Нехарактерное заглавие, доб.карточка?)","1=menu(.mnu); 7=yes/no","rolzsp.mnu","8","4"
"461","V","Вид упаковки (в переплете и др.)","1=menu(.mnu)","2153.mnu","4","3"
"461","X","1-й автор - Заголовок описания","2=dict(,pref=)",",A=,@!amovo","12","7"
"461","Z","Год окончания издания","0=text",,"8","4"
"463","0","Наличие иллюстраций","1=menu(.mnu)","il.mnu","5","3"
"463","1","Местоположение - Единица измерения","6=tree(.tre)","2151.tre\\ -","5","3"
"463","3","Издательство - Ввод через AUTHORITY-файл (N записи)","10=authority","ATHRC,I=,0=,@athrcio","3","3"
